鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
大安區,建物,臺北市大安區仁愛路三段143巷1~50號,0,商,,,10109,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,710120,223.62,0,0,0,無,無,無,105000,470,,0,0,304825,2770227
大安區,建物,臺北市大安區復興南路二段78巷30弄1~50號,0,住,,,10108,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760707,131.91,2,2,2,有,有,有,38000,288,,0,0,304722,2769271
大安區,建物,臺北市大安區永康街31巷1~50號,33.4,住,,,10109,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751118,132.35,0,0,0,無,無,無,60000,453,,0,0,303474,2769333
大安區,建物,臺北市大安區永康街4巷1~50號,8.43,住,,,10108,土地0建物1車位0,五層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,960911,35.49,1,1,1,有,有,有,21000,592,,0,0,303443,2769504
士林區,建物,臺北市士林區忠誠路二段1~50號,0,住,,,10109,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,761116,204.73,4,2,3,有,有,有,97000,474,坡道平面,0,0,303478,2778099
士林區,建物,臺北市士林區忠誠路二段151~200號,0,住,,,10109,土地0建物1車位0,十四層,25,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,841103,250.16,3,2,2,有,有,有,120000,480,坡道平面,0,0,303807,2778774
信義區,建物,臺北市信義區松勤街1~50號,0,其他,,,10109,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,961225,89.44,1,1,1,有,無,有,80000,894,,0,0,306630,2769450
中正區,建物,臺北市中正區信義路二段151~200號,0,商,,,10108,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,990818,206.17,4,2,2,有,有,有,105000,509,,0,0,303333,2769674
文山區,房地(土地+建物),臺北市文山區新光路一段101~150號,22.5,住,,,10108,土地1建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,67.36,4,1,4,有,無,有,7000,104,,0,0,307940,2764919
內湖區,房地(土地+建物),臺北市內湖區基湖路3巷1~50號,120.15,其他,,,10109,土地1建物1車位0,二層,9,辦公商業大樓,工業用,鋼筋混凝土造,910801,448.91,0,0,0,無,有,無,142150,317,,0,0,307226,2774853
