鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
士林區,建物,臺北市士林區中山北路五段751~800號,0,,,,10109,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0620508,97.54,3,2,1,有,無,有,17000,174,,0,0,303124,2776846
士林區,建物,臺北市士林區德行西路101~150號,0,住,,,10109,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680122,85.52,3,2,1,有,無,無,19000,222,,0,0,302511,2777370
大安區,建物,臺北市大安區信義路四段51~100號,0,,,,10109,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,84.11,3,2,1,有,有,無,25000,297,,0,0,305052,2769526
大安區,建物,臺北市大安區信義路四段51~100號,0,,,,10108,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,84.11,3,2,1,有,有,無,25000,297,,0,0,305048,2769530
大安區,房地(土地+建物),臺北市大安區仁愛路三段123巷9弄1~50號,43.05,住,,,10108,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711220,137.31,0,0,2,有,無,有,88000,641,,0,0,304733,2770182
中山區,建物,臺北市中山區新生北路一段1~50號,0,住,,,10109,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),,加強磚造,,68.89,3,1,1,有,無,無,12000,174,,0,0,303587,2771117
中山區,建物,臺北市中山區中山北路二段77巷1~50號,0,,,,10108,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981027,109.01,2,2,1,有,無,有,45000,413,,0,0,302836,2772251
中正區,房地(土地+建物),臺北市中正區博愛路101~150號,13.39,商,,,10108,土地1建物1車位0,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0800510,73.75,0,0,0,無,有,無,160000,2169,,0,0,301609,2770650
松山區,建物,臺北市松山區新中街10巷1~50號,87.25,住,,,10108,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,127.82,1,1,1,有,無,無,50000,391,,0,0,306589,2772522
信義區,建物,臺北市信義區信義路四段351~400號,4.54,,,,10108,土地0建物1車位0,八層,12,辦公商業大樓,住家用,鋼筋混凝土造,,132.99,0,0,0,無,有,無,38800,292,,0,0,306375,2769586
信義區,建物,臺北市信義區松德路151~200號,0,住,,,10108,土地0建物1車位0,五層,21,辦公商業大樓,見使用執照,鋼骨混凝土造,0841212,150.84,3,0,0,有,有,無,55556,368,,0,0,308021,2769864
松山區,建物,臺北市松山區民生東路四段112巷1~50號,0,,,,10109,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,14.5,1,0,1,有,無,有,8000,552,,0,0,305948,2772204
松山區,房地(土地+建物),臺北市松山區三民路113巷1~50號,7.66,商,,,10108,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711230,38.63,1,0,1,有,有,有,11250,291,,0,0,306746,2772318
松山區,房地(土地+建物),臺北市松山區延壽街401~450號,28.6,住,,,10109,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.56,3,2,1,有,有,有,26000,264,,0,0,306114,2772101
中正區,房地(土地+建物),臺北市中正區信義路二段101~150號,17.25,商,,,10108,土地1建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950804,162.41,3,1,2,有,有,有,78000,480,,0,0,303312,2769663
大同區,建物,臺北市大同區市民大道路一段201~250號,0,其他,,,10108,土地0建物1車位0,六層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,84.62,1,1,1,有,有,有,40000,473,,0,0,302219,2771330
中正區,建物,臺北市中正區師大路151~200號,0,,,,10109,土地0建物0車位0,二層,4,公寓(5樓含以下無電梯),,加強磚造,,14,1,0,1,有,無,有,7500,536,,0,0,302880,2768212
中山區,房地(土地+建物)+車位,臺北市內湖區樂群二路251~300號,9.18,其他,,,10108,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970603,50.52,1,1,1,有,有,有,30000,594,坡道機械,19.67,0,306647,2774761
中山區,房地(土地+建物),臺北市中山區新生北路三段51~100號,3.78,住,,,10108,土地1建物1車位0,六層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690801,26.8,1,0,1,有,有,有,11000,410,,0,0,303209,2773212
中山區,建物,臺北市中山區德惠街51~100號,0,,,,10108,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0710227,65,2,1,1,有,有,有,20000,308,,0,0,303203,2773221
中山區,建物,臺北市中山區南京西路23巷1~50號,0,,,,10108,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650521,16,1,0,1,有,無,有,12000,750,,0,0,302551,2771852
中山區,建物,臺北市中山區松江路101~150號,0,,,,10110,土地0建物1車位0,五層,12,辦公商業大樓,商業用,鋼筋混凝土造,0691217,128.4,3,2,0,有,有,無,70000,545,,0,0,303762,2771826
內湖區,建物,臺北市內湖區內湖路一段201~250號,0,工,,,10108,土地0建物2車位0,七層,12,廠辦,工業用,見使用執照,0920107,1065.65,0,0,0,無,有,無,361882,340,其他,0,0,307201,2774931
大安區,建物,臺北市大安區瑞安街135巷1~50號,29.25,住,,,10108,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,81.92,3,2,2,有,無,無,20000,244,,0,0,304527,2768860
南港區,建物,臺北市南港區忠孝東路六段70巷21弄1~50號,0,住,,,10109,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0730724,75.06,3,2,2,有,有,有,23000,306,,0,0,309070,2770994
內湖區,建物,臺北市內湖區康寧路一段101~150號,0,,,,10108,土地0建物0車位0,三層,7,店面(店鋪),見使用執照,鋼筋混凝土造,0720111,1099,0,3,1,有,無,有,380000,346,,0,0,309862,2774716
大安區,建物,臺北市大安區忠孝東路四段201~250號,0,,,,10108,土地0建物1車位0,四層,12,辦公商業大樓,住家用,鋼筋混凝土造,,33,0,1,0,無,無,無,16000,485,,0,0,305933,2770446
士林區,房地(土地+建物)+車位,臺北市士林區忠誠路二段1~50號,0,住,,,10109,土地0建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761116,206.78,4,2,2,有,有,有,85000,411,坡道平面,0,5000,303487,2778090
中山區,房地(土地+建物),臺北市中山區民族東路201~250號,40.76,商,,,10109,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0740515,102.49,0,0,0,無,無,無,58000,566,,0,0,303883,2773407
內湖區,建物,臺北市內湖區成功路二段426巷51~100號,26.44,住,,,10108,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670531,26.44,1,1,1,有,無,有,13000,492,,0,0,309342,2773641
內湖區,建物,臺北市中山區文德路210巷30弄1~50號,31.19,商,,,10108,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990324,237.54,3,2,3,有,有,有,160000,674,坡道平面,43.44,0,308968,2774450
中正區,建物,臺北市中正區汀州路一段151~200號,23.69,住,,,10108,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781227,116.7,3,2,2,有,無,無,22000,189,,0,0,301597,2768878
文山區,房地(土地+建物),臺北市文山區羅斯福路六段401~450號,22.5,商,,,10109,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,63.15,0,0,0,無,無,無,17000,269,,0,0,304533,2764825
萬華區,建物,臺北市萬華區中華路一段151~200號,0,商,,,10108,土地0建物1車位0,七層,12,辦公商業大樓,商業用,鋼筋混凝土造,0811120,130.91,0,0,0,無,有,無,51500,393,,0,0,301220,2770519
中正區,建物,臺北市中正區忠孝東路一段1~50號,0,住,,,10108,土地0建物1車位0,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950926,85.11,2,1,1,有,有,有,45000,529,,0,0,303052,2770810
大同區,建物,臺北市大同區寧夏路1~50號,690,商,,,10108,土地0建物1車位0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0711224,41.36,2,1,1,有,有,有,16500,399,,0,0,301980,2772062
萬華區,建物,臺北市萬華區萬大路322巷51~100號,19.25,住,,,10108,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,68.8,2,1,1,有,無,無,12000,174,,0,0,300320,2768590
大同區,房地(土地+建物),臺北市大同區寧夏路1~50號,3.48,商,,,10108,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851028,39.39,1,1,1,有,無,有,10000,254,,0,0,302013,2771918
