鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
文山區,房地(土地+建物)+車位,臺北市文山區興隆路三段181巷51~100號,52.49,住,,,10106,土地3建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001024,173.45,3,2,2,有,有,27860000,171407,升降機械,15.23,740000,306767,2765510
萬華區,房地(土地+建物),臺北市萬華區內江街1~50號,68,住,,,10108,土地2建物1車位0,全,2,透天厝,,磚造,,113.3,0,0,0,無,無,58700000,518094,,0,0,301031,2770490
文山區,車位,臺北市文山區木新路三段232巷7弄1~50號,1.04,住,,,10107,土地0建物0車位1,一層,10,其他,見其他登記事項,鋼筋混凝土造,960215,15.18,0,0,0,有,有,650000,,坡道機械,0,650000,306409,2763893
中山區,房地(土地+建物),臺北市中山區建國北路三段93巷5弄1~50號,27.87,住,,,10106,土地2建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690816,106.7,3,2,2,有,有,10200000,95595,,0,0,304064,2773247
內湖區,房地(土地+建物)+車位,臺北市內湖區東湖路51~100號,41.17,商,,,10107,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,861009,233.39,2,2,2,有,有,28500000,122112,升降平面,0,0,312048,2773544
中山區,房地(土地+建物),臺北市中山區新生北路二段51~100號,1.56,商,,,10107,土地1建物1車位0,十一層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,690721,22.18,1,1,1,無,有,2000000,90171,,0,0,303199,2772108
萬華區,房地(土地+建物),臺北市萬華區和平西路二段101~150號,3.62,住,,,10107,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,680623,42.95,1,0,1,有,有,3550000,82657,,0,0,300987,2769610
信義區,房地(土地+建物),臺北市信義區吳興街600巷101~150號,24.16,住,,,10108,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780516,98.2,2,1,2,有,無,11000000,112016,,0,0,307788,2767888
南港區,房地(土地+建物)+車位,臺北市南港區園區街1~50號,18.44,住,,,10107,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980611,136.41,2,2,1,有,有,21650000,158714,坡道平面,40.08,0,311891,2772517
中山區,房地(土地+建物),臺北市中山區中山北路一段135巷1~50號,5.75,商,,,10107,土地1建物1車位0,二層,5,其他,商業用,鋼筋混凝土造,740125,30.35,1,0,1,有,無,3600000,118600,,0,0,302888,2771558
